GEO_ID,state,county,county_name,avg_household_size,avg_family_size,pop_in_households,pop_in_school,pop_in_college,attainment_gt_12th,attainment_gt_bachelors,pop_veterans,pop_native,pop_foreign_born,naturalized_citizen,not_citizen,foreign_born_europe,foreign_born_asia,foreign_born_africa,foreign_born_oceania,foreign_born_latin_america,foreign_born_north_america,households_with_computer,households_with_internet,pop_in_labor_force,civilian_labor_force,civilian_labor_force_employed,civilian_labor_force_unemployed,armed_forces,pop_not_in_labor_force,work_commute_drove_alone,work_commute_carpooled,work_commute_public_transport,work_commute_walked,work_commute_other,work_commute_from_home,work_commute_avg_time_minutes,worker_class_private_or_salary,worker_class_government,worker_class_self_employed,worker_class_unpaid_family,median_household_income_dollars,avg_household_income_dollars,pop_noninstitutionalized,pop_with_health_insurance,pop_without_health_insurance,pop_total,pop_male,pop_female,pop_hispanic_alone,pop_white_alone,pop_black_alone,pop_american_indian_alaska_native_alone,pop_native_hawaiian_pacific_islander_alone,pop_other_race_alone,pop_two_or_more_races,pop_citizen_over_18,pop_citizen_over_18_male,pop_citizen_over_18_female,pop_in_school_not_college,attainment_lt_12th_no_diploma
0500000US26137,26,137,"Otsego County, Michigan",2.25,2.73,25218,5129,1063,17449,4865,2049,25174,410,199,211,82,166,0,0,105,57,10858,10253,13224,13204,12673,531,20,7744,9343,1450,66,88,130,1256,20.2,9786,1969,906,12,68183,88599,25432,23988,1444,25584,12927,12657,521,23780,167,70,0,38,851,20045,10116,9929,4066.0,1022.0
0500000US26139,26,139,"Ottawa County, Michigan",2.61,3.06,290730,82091,26770,182257,75084,11005,285934,15269,7864,7405,1722,5868,389,37,6402,851,108113,103501,161100,161028,155354,5674,72,79674,118262,12366,683,4155,1654,15709,20.1,132133,14730,8338,153,90502,115371,299575,289838,9737,301203,149412,151791,30924,246196,4580,305,45,1263,9766,225044,110497,114547,55321.0,10718.0
0500000US26141,26,141,"Presque Isle County, Michigan",1.96,2.39,13037,1764,271,9695,2250,1267,13062,147,109,38,60,19,1,5,6,56,6124,5665,5251,5250,4907,343,1,6178,3604,431,26,82,167,499,26.7,3868,620,402,17,59321,77164,13115,12430,685,13209,6655,6554,213,12447,30,20,0,23,446,11138,5630,5508,1493.0,797.0
0500000US26143,26,143,"Roscommon County, Michigan",2.03,2.53,23502,3175,575,17566,3870,2061,23428,309,173,136,148,25,46,0,34,56,10747,10167,8783,8779,8363,416,4,11986,6080,1022,23,78,89,918,24.3,6288,1335,676,64,55246,77936,23550,22407,1143,23737,12064,11673,483,21940,160,48,0,36,1042,20206,10246,9960,2600.0,1575.0
0500000US26145,26,145,"Saginaw County, Michigan",2.34,2.96,182381,43530,11550,120120,31982,9767,184153,4512,2610,1902,756,2050,75,0,1298,333,73556,69394,87671,87598,81990,5608,73,65674,62514,6995,250,1794,898,8027,22.4,68412,9892,3651,35,60622,82545,185346,177056,8290,188665,92054,96611,17381,127944,34099,244,61,359,6358,146584,70242,76342,31980.0,10966.0
0500000US26147,26,147,"St. Clair County, Michigan",2.34,2.85,158767,31184,5144,106414,23488,9016,156981,3240,1937,1303,827,928,72,63,405,945,64337,61648,80456,80287,75692,4595,169,51766,59272,6493,811,843,996,5728,28.5,61911,9424,4306,51,71270,90649,159030,151297,7733,160221,80244,79977,5905,143658,3395,178,15,521,5764,126458,62818,63640,26040.0,9226.0
0500000US26149,26,149,"St. Joseph County, Michigan",2.55,3.13,60323,13080,1627,35957,7021,3042,58492,2477,848,1629,146,323,60,0,1927,21,21735,20969,29411,29411,27675,1736,0,18435,19553,4305,42,427,742,1956,21.0,23613,2482,1520,60,66425,81433,60506,54369,6137,60969,30648,30321,5739,50933,1262,24,16,278,2320,44564,22182,22382,11453.0,5518.0
0500000US26151,26,151,"Sanilac County, Michigan",2.28,2.82,39942,7596,921,26321,4784,2412,39899,563,354,209,190,185,0,11,98,79,16127,14960,18140,18134,17053,1081,6,14988,13041,1530,51,522,218,1355,28.6,13360,2206,1424,63,58863,77878,40094,36967,3127,40462,20403,20059,1732,37185,157,28,2,125,1118,31790,15913,15877,6675.0,2722.0
0500000US26153,26,153,"Schoolcraft County, Michigan",2.05,2.54,7973,1327,136,5690,1312,677,8044,84,29,55,24,26,0,0,13,21,3624,3337,3454,3454,3240,214,0,3424,2545,330,2,175,22,138,18.2,2404,647,189,0,56782,77910,8046,7635,411,8128,4058,4070,135,6637,38,593,0,6,700,6655,3323,3332,1191.0,530.0
0500000US26155,26,155,"Shiawassee County, Michigan",2.39,2.92,67361,13438,2397,45119,9729,3426,67210,781,511,270,250,223,40,8,240,20,26562,24890,33543,33465,32128,1337,78,22429,25165,2805,43,519,439,2635,27.8,26086,3972,1960,110,67404,84758,67460,64728,2732,67991,33890,34101,2144,63015,289,94,0,237,1938,53672,26583,27089,11041.0,3531.0
0500000US26157,26,157,"Tuscola County, Michigan",2.43,3.02,52145,10526,1785,35778,6309,2791,52527,453,278,175,114,83,30,19,131,76,19788,18292,23861,23861,22434,1427,0,19918,18183,2092,69,323,206,1099,29.6,18505,2725,1115,89,63811,77133,52421,50027,2394,52980,26939,26041,2001,48487,546,94,6,78,1580,42176,21209,20967,8741.0,2854.0
0500000US26159,26,159,"Van Buren County, Michigan",2.44,2.95,74750,16318,2444,47316,12149,3575,72277,3518,1488,2030,375,440,46,69,2488,100,28768,27370,35342,35342,33869,1473,0,25001,25413,3390,148,621,243,3481,24.5,27898,3987,1869,115,68114,85909,75337,70051,5286,75795,37797,37998,9498,59271,2689,327,6,305,3299,56421,27948,28473,13874.0,5519.0
0500000US26161,26,161,"Washtenaw County, Michigan",2.33,2.96,350585,121636,65628,227856,139341,12031,321560,48262,24039,24223,7867,27490,3582,296,7285,1742,147207,141722,196097,195907,186913,8994,190,114962,108495,12368,6722,10254,3563,41253,23.5,140431,35686,10590,206,89180,124712,364667,352569,12098,369822,184472,185350,21403,248370,41665,588,77,2090,21551,280249,137810,142439,56008.0,9468.0
0500000US26163,26,163,"Wayne County, Michigan",2.50,3.32,1753180,418063,96167,1061981,332784,64943,1589845,182414,112241,70173,18659,112155,10254,418,34987,5941,662468,628410,829173,828838,757073,71765,335,572459,530628,62596,12966,12064,16091,104011,24.7,637875,80642,37625,931,60539,85604,1762055,1663290,98765,1772259,857747,914512,121653,849427,648007,2670,430,8796,76532,1291523,612303,679220,321896.0,144518.0
0500000US26165,26,165,"Wexford County, Michigan",2.45,2.92,33488,6972,746,21538,5098,2346,33468,609,349,260,264,131,65,0,118,31,12874,11990,15143,15119,14319,800,24,12052,10866,1665,72,353,173,1001,23.6,11870,1602,815,32,61085,78703,33579,31327,2252,34077,17209,16868,923,30946,376,74,4,9,1527,26080,13060,13020,6226.0,2386.0
0500000US27001,27,001,"Aitkin County, Minnesota",2.19,2.77,15810,2470,323,11992,2568,1358,15909,147,102,45,45,29,4,0,47,22,6689,6161,6666,6666,6281,385,0,7235,4554,547,2,148,104,777,27.7,4784,888,584,25,60833,77208,15862,15033,829,16056,8115,7941,244,14857,103,225,8,108,473,13502,6789,6713,2147.0,681.0
0500000US27003,27,003,"Anoka County, Minnesota",2.67,3.16,366962,86586,16298,239920,81825,17535,332544,37805,25720,12085,3628,11558,13168,65,8847,539,133310,129456,204495,204271,195564,8707,224,88911,139332,13600,1795,1834,2181,32865,25.6,163413,22965,8963,223,101869,120024,367728,350950,16778,370349,186237,184112,21612,275846,32639,1331,74,1062,17112,272191,136535,135656,70288.0,14335.0
0500000US27005,27,005,"Becker County, Minnesota",2.42,3.02,34836,7614,963,22889,6875,2358,34935,408,225,183,83,119,39,0,59,108,13607,12801,17191,17163,16418,745,28,11017,12162,1569,83,503,139,1723,21.7,12262,2527,1612,17,71388,100022,34911,32902,2009,35343,17704,17639,702,30011,258,1644,17,186,2352,26930,13494,13436,6651.0,1679.0
0500000US27007,27,007,"Beltrami County, Minnesota",2.45,3.00,44566,12569,3294,26771,9232,2633,45843,669,361,308,60,193,206,17,84,109,17211,16680,22774,22734,21670,1064,40,13666,16306,2168,237,653,221,1636,21.0,14847,5707,1052,64,68975,89694,45818,42266,3552,46512,23452,23060,1187,32581,391,8717,28,309,3029,34736,17218,17518,9275.0,2237.0
