GEO_ID,gini_index,pct_republican_vote,task_force_model,warrant_service_officer,jail_enforcement_model
0500000US08085,0.437,65.2067,0,0,0
0500000US08087,0.4195,73.0421,0,0,0
0500000US08089,0.424,61.8487,0,0,0
0500000US08091,0.4011,38.3846,0,0,0
0500000US08093,0.447,56.6921,0,0,0
0500000US08095,0.5407,80.2039,0,0,0
0500000US08097,0.5919,26.7932,0,0,0
0500000US08099,0.5159,74.514,0,0,0
0500000US08101,0.4531,51.333,0,0,0
0500000US08103,0.3543,80.9756,0,0,0
0500000US08105,0.4691,60.4294,0,0,0
0500000US08107,0.4725,34.7475,0,0,0
0500000US08109,0.551,46.3824,0,0,0
0500000US08111,0.4373,31.9728,0,0,0
0500000US08113,0.5685,24.0216,0,0,0
0500000US08115,0.4415,77.1723,0,0,0
0500000US08117,0.4364,29.894,0,0,0
0500000US08119,0.4264,66.4952,0,0,1
0500000US08121,0.4198,86.814,0,0,0
0500000US08123,0.4214,59.1975,0,0,0
0500000US08125,0.4672,81.6427,0,0,0
0500000US09110,0.4686,NA,0,0,0
0500000US09120,0.5203,NA,0,0,0
0500000US09130,0.452,NA,0,0,0
0500000US09140,0.4637,NA,0,0,0
0500000US09150,0.4124,NA,0,0,0
0500000US09160,0.4773,NA,0,0,0
0500000US09170,0.4771,NA,0,0,0
0500000US09180,0.4447,NA,0,0,0
0500000US09190,0.5446,NA,0,0,0
0500000US10001,0.4079,48.1705,0,0,0
0500000US10003,0.4523,32.9331,0,0,0
0500000US10005,0.457,54.8805,0,0,0
0500000US11001,0.5169,6.4674,0,0,0
0500000US12001,0.5163,38.7695,1,1,0
0500000US12003,0.3882,86.3057,1,1,0
0500000US12005,0.4409,73.1225,1,1,0
0500000US12007,0.4412,78.3807,1,1,0
0500000US12009,0.4574,59.9069,1,1,0
0500000US12011,0.4877,41.0447,1,1,0
0500000US12013,0.4628,83.4941,1,1,0
0500000US12015,0.4479,66.6904,1,1,0
0500000US12017,0.4898,72.6366,1,1,0
0500000US12019,0.4017,69.1667,1,1,1
0500000US12021,0.534,66.2139,1,0,1
0500000US12023,0.4492,74.744,1,1,0
0500000US12027,0.4415,71.1723,1,1,0
0500000US12029,0.4085,84.9288,1,1,0
0500000US12031,0.473,50.1366,1,0,1
0500000US12033,0.4564,59.2344,1,1,0
0500000US12035,0.4688,63.793,1,1,0
0500000US12037,0.4729,71.4856,1,1,0
0500000US12039,0.4633,34.2738,1,1,0
0500000US12041,0.4927,83.5766,1,1,0
0500000US12043,0.464,76.416,1,1,0
0500000US12045,0.4818,76.8541,1,1,0
0500000US12047,0.4211,69.1436,1,1,0
0500000US12049,0.5135,77.8092,1,1,0
0500000US12051,0.476,68.7444,1,1,0
0500000US12053,0.4262,68.1591,1,1,1
0500000US12055,0.4567,70.0934,1,1,0
0500000US12057,0.4849,50.8959,1,1,0
0500000US12059,0.4354,89.8749,1,1,0
0500000US12061,0.4983,63.3598,1,1,0
0500000US12063,0.4277,72.7396,1,1,0
0500000US12065,0.4515,58.9391,1,1,0
0500000US12067,0.4064,87.7529,1,1,0
0500000US12069,0.4324,61.9521,1,1,0
0500000US12071,0.4789,63.8575,1,1,1
0500000US12073,0.4992,38.518,1,1,0
0500000US12075,0.4748,74.8421,1,1,0
0500000US12077,0.455,83.0372,1,1,0
0500000US12079,0.4393,64.1547,1,1,0
0500000US12081,0.4736,61.3851,1,1,0
0500000US12083,0.4476,65.469,1,1,0
0500000US12085,0.5078,65.2359,1,1,0
0500000US12086,0.5134,55.3503,1,1,0
0500000US12087,0.5168,58.7981,1,1,0
0500000US12089,0.4461,73.059,1,1,0
0500000US12091,0.439,70.6721,1,1,0
0500000US12093,0.4457,76.6907,1,1,0
0500000US12095,0.4777,42.5361,1,1,0
0500000US12097,0.4314,50.1869,1,1,0
0500000US12099,0.5195,49.1929,1,1,0
0500000US12101,0.4591,62.1027,1,1,0
0500000US12103,0.4881,52.1148,1,1,0
0500000US12105,0.4467,59.9098,1,1,0
0500000US12107,0.4833,73.6105,1,1,0
0500000US12109,0.4555,65.2086,1,1,1
0500000US12111,0.4402,54.1741,1,1,0
0500000US12113,0.4172,74.9958,1,1,0
0500000US12115,0.5052,58.7402,1,1,0
0500000US12117,0.4426,51.1317,1,1,0
0500000US12119,0.433,68.5567,1,1,0
0500000US12121,0.4445,80.2202,1,1,0
0500000US12123,0.5139,79.5639,1,1,1
0500000US12125,0.4789,83.8389,1,1,0
0500000US12127,0.4491,60.4484,1,1,0
0500000US12129,0.3955,71.7466,1,1,0
0500000US12131,0.5228,78.567,1,1,0
0500000US12133,0.438,82.4062,1,1,0
0500000US13001,0.4536,81.1255,1,0,0
0500000US13003,0.4363,76.8728,1,0,1
0500000US13005,0.4982,86.5055,1,0,0
0500000US13007,0.5266,59.8238,0,0,0
0500000US13009,0.5423,50.8579,0,0,0
0500000US13011,0.4088,88.9628,0,0,0
0500000US13013,0.385,69.9458,0,0,0
0500000US13015,0.4146,75.1925,0,0,0
0500000US13017,0.4429,65.8514,0,0,0
0500000US13019,0.465,84.7918,0,0,0
0500000US13021,0.5216,38.5337,0,1,0
0500000US13023,0.4821,77.5149,0,0,0
0500000US13025,0.4349,91.1059,0,0,0
0500000US13027,0.4832,63.2455,0,0,0
0500000US13029,0.4126,67.8999,0,0,0
0500000US13031,0.4846,64.2588,0,0,0
0500000US13033,0.5478,54.4444,0,1,0
0500000US13035,0.3894,72.3865,0,0,0
0500000US13037,0.5496,43.7743,0,0,0
0500000US13039,0.3927,67.5141,0,0,0
0500000US13043,0.4417,73.6865,0,0,0
0500000US13045,0.4399,70.3144,0,0,0
0500000US13047,0.4265,77.4873,0,1,1
0500000US13049,0.4649,77.9386,0,0,0
0500000US13051,0.4721,40.6324,0,0,0
0500000US13053,0.3981,57.9693,0,0,0
0500000US13055,0.4305,81.9073,0,0,0
0500000US13057,0.4096,69.1036,0,0,0
0500000US13059,0.5014,30.3458,0,0,0
0500000US13061,0.4406,45.9778,0,0,0
0500000US13063,0.4246,15.1053,0,0,0
0500000US13065,0.5117,75.6878,0,0,0
0500000US13067,0.4464,42.0259,0,0,0
0500000US13069,0.4807,72.4658,0,0,0
0500000US13071,0.4533,74.9564,0,0,0
0500000US13073,0.4087,62.45,0,0,1
0500000US13075,0.492,73.0461,0,0,0
0500000US13077,0.4133,66.5813,0,1,0
