GEO_ID,county_name,state,county,pop_foreign_born,pop_not_citizen,pop_language_not_english,pop_not_in_labor_force,pop_private_wage_salary_workers,pop_households_fs_snap,pop_no_health_insurance,_pop_total,pop_hispanic,pop_NH_white,pop_NH_black,pop_NH_AIAN,pop_NH_asian,pop_NH_NHPI,pop_NH_some_other,pop_NH_two_or_more,pop_unhoused,pop_not_hs_graduate,pop_commute_drove_or_carpooled
0500000US29151,"Osage County, Missouri",29,151,45,14,101,3866,4528,220,547,13402,149,12942,37,17,10,0,0,247,265,798,5932
0500000US29153,"Ozark County, Missouri",29,153,67,10,155,4127,2095,547,1166,8873,188,8312,24,6,0,0,7,336,52,1000,2517
0500000US29155,"Pemiscot County, Missouri",29,155,175,85,366,5328,4411,1947,1864,14958,478,9738,3643,26,26,0,19,1028,210,1511,5163
0500000US29157,"Perry County, Missouri",29,157,321,230,662,5806,7401,764,1062,18976,467,17731,131,6,156,0,0,485,321,1786,8241
0500000US29159,"Pettis County, Missouri",29,159,3135,1669,5341,12816,15899,1941,5387,43397,4299,35616,1071,21,299,163,96,1832,949,3581,17514
0500000US29161,"Phelps County, Missouri",29,161,1903,1226,2045,16472,14164,2275,4039,45194,1390,38353,1100,174,1655,15,228,2279,3064,2840,16491
0500000US29163,"Pike County, Missouri",29,163,261,131,690,7052,4969,670,1446,17711,439,15760,878,84,60,30,5,455,1740,1557,6152
0500000US29165,"Platte County, Missouri",29,165,6336,2456,8524,26712,48674,1857,6683,110371,7893,84638,8224,141,2798,175,714,5788,1044,2524,46148
0500000US29167,"Polk County, Missouri",29,167,412,164,1187,11017,10870,1306,4516,32444,970,29507,239,75,259,0,312,1082,1363,2548,12315
0500000US29169,"Pulaski County, Missouri",29,169,2610,1125,5467,13006,11323,1411,3372,53894,6199,36902,5425,167,1152,318,326,3405,9959,1794,19433
0500000US29171,"Putnam County, Missouri",29,171,56,0,187,1582,1288,134,440,4642,139,4414,9,20,0,0,0,60,73,162,1754
0500000US29173,"Ralls County, Missouri",29,173,21,13,104,3811,3429,190,566,10428,128,9678,187,6,17,0,23,389,88,613,3843
0500000US29175,"Randolph County, Missouri",29,175,164,86,446,8650,8221,1388,2196,24365,612,21308,1203,16,50,6,22,1148,1868,1734,9400
0500000US29177,"Ray County, Missouri",29,177,326,134,560,7320,8676,954,2086,23145,667,21333,182,85,76,2,109,691,228,1662,9261
